chrom	start	end	CTCF	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K9ac	H3K9me3	H4K20me1	group
chr1	58710000	58810000	7.52548	3.37831	3.7757	2.39694	1.62326	2.9061	4.70758	4.05721	2.18784	2.23723	B
chr1	117350000	117450000	6.07128	3.77846	3.71513	3.98694	4.06941	4.53112	5.30343	3.88595	1.55392	3.3357	B
chr1	159350000	159450000	16.3961	22.6336	2.17144	13.5938	11.1153	23.0803	44.5634	26.1659	2.0448	6.72286	B
chr1	176110000	176210000	13.5786	4.86957	4.42364	2.97469	6.19251	3.2131	0.766593	3.89818	2.326	2.44752	B
chr1	15670000	15770000	4.63526	5.44684	2.76799	11.1252	3.396	5.54214	10.9518	6.57716	2.30812	4.92637	B
chr1	19830000	19930000	25.1395	3.85062	6.42254	9.01478	5.45642	4.91429	6.26515	6.05523	2.9713	6.92645	B
chr1	29350000	29450000	19.0864	12.1553	2.84875	12.6006	10.8534	11.8622	18.0184	13.0116	1.97816	11.4837	B
chr1	36670000	36770000	6.32577	4.60499	7.28708	5.10424	3.34939	5.77989	10.0633	7.28258	2.37964	3.44756	B
chr1	39750000	39850000	11.1246	4.14799	7.55507	13.3049	5.47249	8.15971	10.3734	7.44569	3.02494	9.1413	B
chr1	42950000	43050000	9.34323	6.20996	3.56461	11.8152	4.30567	6.75167	15.9591	9.57011	2.47717	6.29779	B
chr1	48190000	48290000	5.70773	0.522599	5.47908	0.940631	1.34843	1.35264	0.836283	1.23551	2.5178	2.48779	B
chr1	53430000	53530000	6.05311	9.30401	1.77313	10.908	4.97587	9.51928	17.1717	12.2572	1.81724	4.22612	B
chr1	71250000	71350000	5.05334	4.07365	4.31535	4.5623	3.35582	5.50521	7.86454	4.9869	1.68395	3.62207	B
chr1	89070000	89170000	1.79957	3.25149	2.18062	7.72081	3.25778	3.95867	7.19552	4.6036	2.59582	5.04494	B
chr1	110070000	110170000	17.0323	9.42646	7.06865	3.65509	15.5046	6.96172	5.47765	8.38761	3.44105	3.84355	B
chr1	155170000	155270000	2.09041	1.49564	1.42988	13.8779	3.16295	1.5096	0.620243	2.79315	1.72134	7.89741	B
chr1	175070000	175170000	10.7247	0.25802	3.01579	0.632658	0.65252	0.847133	0.320575	1.11318	1.77173	2.11642	B
chr1	202350000	202450000	22.4492	5.94976	4.87152	6.625	10.5319	6.44467	5.8714	7.60879	2.326	3.78986	B
chr1	210670000	210770000	11.9608	5.31564	6.92732	3.39487	9.61422	5.73604	4.41488	5.75348	2.57307	5.07403	B
chr1	212790000	212890000	6.59843	11.3835	2.21733	3.91532	7.22433	11.015	16.9835	10.8423	2.24961	4.159	B
chr1	213810000	213910000	2.03588	6.95997	2.12188	7.36987	6.49788	5.40134	1.22306	3.62906	1.99766	3.95765	B
chr1	1230000	1330000	17.1959	31.3341	1.2243	19.8273	15.1687	20.0126	43.2463	26.0721	1.91802	10.8326	B
chr1	1790000	1890000	17.7594	6.3674	8.41227	5.45996	7.3754	7.26872	12.9972	8.42023	3.23299	19.1037	B
chr1	2270000	2370000	14.9055	5.35063	6.29773	9.0864	5.61392	5.18205	12.262	8.23674	2.59582	5.4387	B
chr1	3630000	3730000	8.398	3.09842	4.91924	9.95541	5.00158	6.13075	9.91344	6.07561	2.33575	4.93085	B
chr1	6390000	6490000	25.3394	3.527	18.6546	6.29316	6.53002	6.8163	8.73567	6.2061	3.20861	5.74072	B
